0	81
26.14285714	72
0.885714286	64
2.857142857	70
9.142857143	90
1.542857143	74
4.085714286	66
9.571428571	62
3.428571429	77
4.714285714	51
10.8	54
6.114285714	41
6.066666667	32
5.6	32
0.95	37
9.314285714	32
4.314285714	51
13.31428571	37
4.657142857	42
1.914285714	48
8.057142857	48
8.166666667	50
2.68	63
7.285714286	53
10.68571429	51
3.428571429	66
1.2	60
4.657142857	56
8.12	52
5.9	51
4.085714286	33
13.22857143	40
6.485714286	53
2.828571429	58
10.08571429	39
9.771428571	51
16.82857143	55
2.6	62
12.96666667	77
0.771428571	62
3.828571429	44
6.857142857	50
6.342857143	24
24.4	37
22.36666667	33
7.2	40
8.142857143	51
9.428571429	66
1.457142857	83
0	68
0	54
1.4	45
8.8	48
2.028571429	50
4.257142857	28
5.057142857	38
2.571428571	51
4.371428571	37
7.942857143	37
12.42857143	36
4.828571429	24
1.657142857	38
2.142857143	38
9.971428571	56
13.8	55
10.17142857	74
5.914285714	62
5.6	63
8.371428571	64
5.742857143	52
1.742857143	75
2.485714286	55
3.8	59
1.285714286	75
1.971428571	56
0.342857143	44
1.914285714	41
5.257142857	56
8.742857143	50
21.31428571	59
0.285714286	42
8.685714286	66
0	75
4.571428571	75
12.05714286	49
4.485714286	63
5.828571429	40
5.342857143	51
