27.7286	205
28.0143	245
27.5714	207
28.0429	221
27.9714	179
28.3429	135
28.5857	232
28.5429	181
28.0857	156
28.2286	133
28.7714	109
28.8286	96
27.8429	99
29.2286	108
28.7143	125
28.1714	134
28.9714	156
27.9000	192
27.7143	287
27.9857	307
28.0286	376
28.5000	400
28.3714	396
28.2857	464
28.1571	430
28.3857	492
28.3714	591
28.4286	661
28.5857	644
28.1286	601
27.9857	597
28.5000	521
28.2714	522
28.4000	474
27.5571	412
27.3857	326
28.7714	314
27.9000	299
27.5714	258
28.2143	243
28.5429	226
28.0857	239
26.8143	241
27.1857	306
26.5000	321
24.7333	372
26.7800	329
27.4571	295
26.9857	280
27.2714	257
27.3571	226
27.7571	290
27.2429	302
26.9571	342
27.8571	402
27.2571	307
28.0143	370
27.9286	400
28.7286	378
27.7286	380
28.7000	373
28.3429	375
28.6000	389
29.3167	367
27.7714	377
27.9714	315
29.0800	341
29.0000	360
28.7571	399
28.3800	390
27.7004	502
